2026-09-16 10:49:36,623 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1

                                                       █████                █████
                                                      ░░███                ░░███
     ████████    ██████   ████████    ██████   ██████  ░███████    ██████  ███████
    ░░███░░███  ░░░░░███ ░░███░░███  ███░░███ ███░░███ ░███░░███  ░░░░░███░░░███░
     ░███ ░███   ███████  ░███ ░███ ░███ ░███░███ ░░░  ░███ ░███   ███████  ░███
     ░███ ░███  ███░░███  ░███ ░███ ░███ ░███░███  ███ ░███ ░███  ███░░███  ░███ ███
     ████ █████░░████████ ████ █████░░██████ ░░██████  ████ █████░░███████  ░░█████
    ░░░░ ░░░░░  ░░░░░░░░ ░░░░ ░░░░░  ░░░░░░   ░░░░░░  ░░░░ ░░░░░  ░░░░░░░░   ░░░░░
    
Autodetected device type: mps
COMPUTE_DTYPE: torch.float32 (auto-detected: no CUDA (CPU/MPS))
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
WARNING: Flash Attention 3 not available, using PyTorch SDPA fallback
WARNING: Training will be less efficient without FA3
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Vocab size: 32,768
Model config:
{
  "sequence_len": 2048,
  "vocab_size": 32768,
  "n_layer": 2,
  "n_head": 1,
  "n_kv_head": 1,
  "n_embd": 128,
  "window_pattern": "L"
}
Parameter counts:
wte                     : 4,194,304
value_embeds            : 4,194,304
lm_head                 : 4,194,304
transformer_matrices    : 393,228
scalars                 : 30
total                   : 12,976,170
Estimated FLOPs per token: 3.381679e+07
Auto-computed optimal batch size: 131,072 tokens
Scaling LRs by 0.5000 for batch size 131,072 (reference: 524,288)
Scaling weight decay from 0.280000 to 3.360004 for depth 2
Scaling the LR for the AdamW parameters ∝1/√(128/768) = 2.449490
Calculated number of iterations from target data:param ratio: 420
Total number of training tokens: 55,050,240
Tokens : Scaling params ratio: 12.00
Total training FLOPs estimate: 1.861623e+15
Tokens / micro-batch / rank: 16 x 2048 = 32,768
Tokens / micro-batch: 32,768
Total batch size 131,072 => gradient accumulation steps: 4
Step 00000 | Validation bpb: 3.140477
step 00000/00420 (0.00%) | loss: 10.397423 | lrm: 0.03 | dt: 2717.69ms | tok/sec: 48,229 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00001/00420 (0.24%) | loss: 10.395142 | lrm: 0.05 | dt: 1923.20ms | tok/sec: 68,153 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00002/00420 (0.48%) | loss: 10.391139 | lrm: 0.07 | dt: 1900.30ms | tok/sec: 68,974 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00003/00420 (0.71%) | loss: 10.384771 | lrm: 0.10 | dt: 1906.10ms | tok/sec: 68,764 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00004/00420 (0.95%) | loss: 10.375436 | lrm: 0.12 | dt: 1995.35ms | tok/sec: 65,688 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00005/00420 (1.19%) | loss: 10.361615 | lrm: 0.15 | dt: 1934.32ms | tok/sec: 67,761 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00006/00420 (1.43%) | loss: 10.340846 | lrm: 0.17 | dt: 1978.37ms | tok/sec: 66,252 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00007/00420 (1.67%) | loss: 10.312353 | lrm: 0.20 | dt: 1878.07ms | tok/sec: 69,790 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00008/00420 (1.90%) | loss: 10.272666 | lrm: 0.23 | dt: 1865.29ms | tok/sec: 70,269 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00009/00420 (2.14%) | loss: 10.214166 | lrm: 0.25 | dt: 1849.06ms | tok/sec: 70,885 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 0.00m
step 00010/00420 (2.38%) | loss: 10.138035 | lrm: 0.28 | dt: 1962.48ms | tok/sec: 66,788 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 0.00m
step 00011/00420 (2.62%) | loss: 10.041052 | lrm: 0.30 | dt: 1935.99ms | tok/sec: 67,702 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 0.03m | eta: 13.2m
step 00012/00420 (2.86%) | loss: 9.922889 | lrm: 0.33 | dt: 1888.07ms | tok/sec: 69,421 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 0.06m | eta: 13.0m
step 00013/00420 (3.10%) | loss: 9.773363 | lrm: 0.35 | dt: 1958.60ms | tok/sec: 66,921 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 0.10m | eta: 13.1m
step 00014/00420 (3.33%) | loss: 9.612483 | lrm: 0.38 | dt: 1882.10ms | tok/sec: 69,641 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 0.13m | eta: 13.0m
step 00015/00420 (3.57%) | loss: 9.436854 | lrm: 0.40 | dt: 1962.45ms | tok/sec: 66,789 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 0.16m | eta: 13.0m
step 00016/00420 (3.81%) | loss: 9.264579 | lrm: 0.42 | dt: 1894.34ms | tok/sec: 69,191 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 0.19m | eta: 12.9m
step 00017/00420 (4.05%) | loss: 9.091728 | lrm: 0.45 | dt: 1933.43ms | tok/sec: 67,792 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 5 | total time: 0.22m | eta: 12.9m
step 00018/00420 (4.29%) | loss: 8.929459 | lrm: 0.47 | dt: 1935.03ms | tok/sec: 67,736 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 5 | total time: 0.26m | eta: 12.9m
step 00019/00420 (4.52%) | loss: 8.778291 | lrm: 0.50 | dt: 1973.36ms | tok/sec: 66,420 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 5 | total time: 0.29m | eta: 12.9m
step 00020/00420 (4.76%) | loss: 8.613195 | lrm: 0.53 | dt: 2025.40ms | tok/sec: 64,714 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 6 | total time: 0.32m | eta: 12.9m
step 00021/00420 (5.00%) | loss: 8.453566 | lrm: 0.55 | dt: 1933.56ms | tok/sec: 67,788 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 6 | total time: 0.36m | eta: 12.9m
step 00022/00420 (5.24%) | loss: 8.295266 | lrm: 0.57 | dt: 1896.97ms | tok/sec: 69,095 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 6 | total time: 0.39m | eta: 12.8m
step 00023/00420 (5.48%) | loss: 8.158642 | lrm: 0.60 | dt: 1941.67ms | tok/sec: 67,504 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 6 | total time: 0.42m | eta: 12.8m
step 00024/00420 (5.71%) | loss: 8.032073 | lrm: 0.62 | dt: 1870.53ms | tok/sec: 70,072 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 7 | total time: 0.45m | eta: 12.7m
step 00025/00420 (5.95%) | loss: 7.904077 | lrm: 0.65 | dt: 1941.30ms | tok/sec: 67,517 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 7 | total time: 0.48m | eta: 12.7m
step 00026/00420 (6.19%) | loss: 7.789630 | lrm: 0.68 | dt: 2035.57ms | tok/sec: 64,390 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 7 | total time: 0.52m | eta: 12.7m
step 00027/00420 (6.43%) | loss: 7.694747 | lrm: 0.70 | dt: 2103.89ms | tok/sec: 62,299 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 7 | total time: 0.55m | eta: 12.8m
step 00028/00420 (6.67%) | loss: 7.594961 | lrm: 0.72 | dt: 2107.65ms | tok/sec: 62,188 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 8 | total time: 0.59m | eta: 12.8m
step 00029/00420 (6.90%) | loss: 7.519407 | lrm: 0.75 | dt: 2138.35ms | tok/sec: 61,295 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 8 | total time: 0.62m | eta: 12.8m
step 00030/00420 (7.14%) | loss: 7.424151 | lrm: 0.78 | dt: 2048.99ms | tok/sec: 63,969 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 8 | total time: 0.66m | eta: 12.8m
